Q_Number,Column_Index,Column_ID,Question_Text,Original_Row_0,Original_Row_1,Response_Type,Notes
Q188,194,"Unnamed: 194","How did you first learn about GAIA Natural Baby? (select as many as apply) - Instagram","","Instagram",categorical,""
Q189,195,"Unnamed: 195","How did you first learn about GAIA Natural Baby? (select as many as apply) - Tik Tok","","Tik Tok",categorical,""
Q190,196,"Unnamed: 196","How did you first learn about GAIA Natural Baby? (select as many as apply) - YouTube","","YouTube",categorical,""
Q191,197,"Unnamed: 197","How did you first learn about GAIA Natural Baby? (select as many as apply) - Influencers","","Influencers",categorical,""
Q192,198,"Received as a gift","How did you first learn about GAIA Natural Baby? (select as many as apply) - Received as a gift","","Received as a gift",categorical,""
Q193,199,"Unnamed: 199","How did you first learn about GAIA Natural Baby? (select as many as apply) - Online ads","","Online ads",categorical,""
Q194,200,"Unnamed: 200","How did you first learn about GAIA Natural Baby? (select as many as apply) - Other way (please say how)","","Other way (please say how)",categorical,""
Q195,201,"Yes.4","Have you ever purchased a GAIA Natural Baby product? - Response","Have you ever purchased a GAIA Natural Baby product?","Response",categorical,""
Q196,202,"Never.5","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Coles supermarket","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet)","Coles supermarket",categorical,""
Q197,203,"Never.6","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Woolworths supermarket","","Woolworths supermarket",categorical,""
Q198,204,"Never.7","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - IGA supermarket","","IGA supermarket",categorical,""
Q199,205,"Occasionally.4","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Chemist Warehouse","","Chemist Warehouse",categorical,""
Q200,206,"Never.8","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Priceline","","Priceline",categorical,""
Q201,207,"Never.9"," etc)""","","""Pharmacy (Amcal",categorical,""
Q202,208,"Never.10","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Big W","","Big W",categorical,""
Q203,209,"Often","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Amazon","","Amazon",categorical,""
Q204,210,"Never.11","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Baby Bunting","","Baby Bunting",categorical,""
Q205,211,"Never.12","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - GAIA website (gaiaskinnaturals.com)","","GAIA website (gaiaskinnaturals.com)",categorical,""
Q206,212,"Unnamed: 212","Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Online (please say which site(s))","","Online (please say which site(s))",categorical,""
Q207,213,"Unnamed: 213","""If there are any other stores that you have purchased GAIA Natural Baby from","""If there are any other stores that you have purchased GAIA Natural Baby from"," please say which ones:""",categorical,""
Q208,214,"A brand I purchase occasionally","Would you say that GAIA Natural Baby is... - Response","Would you say that GAIA Natural Baby is...","Response",categorical,""
Q209,215,"Unnamed: 215","Nothing – ready to buy if I need something","""What"," if any",categorical,""
Q210,216,"Price/Value (is too expensive)"," if any","","Price/Value (is too expensive)",categorical,""
Q211,217,"Unnamed: 217"," if any","","Range (don’t have the type of products I want)",categorical,""
Q212,218,"Unnamed: 218"," if any","","Availability (not convenient/easy to buy)",categorical,""
Q213,219,"Unnamed: 219"," if any","","Prefer other brands",categorical,""
Q214,220,"Unnamed: 220"," if any","","Other (please specify)",categorical,""
Q215,221,"Unnamed: 221","Brand Preferred 1 - Open-Ended Response","Brand Preferred 1","Open-Ended Response",open_ended,"BRAND RELATED"
Q216,222,"Unnamed: 222","Reason(s) Why: - Open-Ended Response","Reason(s) Why:","Open-Ended Response",open_ended,""
Q217,223,"Unnamed: 223","Brand Preferred 2 - Open-Ended Response","Brand Preferred 2","Open-Ended Response",open_ended,"BRAND RELATED"
Q218,224,"Unnamed: 224","Reason(s) Why: - Open-Ended Response","Reason(s) Why:","Open-Ended Response",open_ended,""
Q219,225,"Unnamed: 225","Brand Preferred 3 - Open-Ended Response","Brand Preferred 3","Open-Ended Response",open_ended,"BRAND RELATED"
Q220,226,"Unnamed: 226","Reason(s) Why: - Open-Ended Response","Reason(s) Why:","Open-Ended Response",open_ended,""
Q221,227,"Strongly Agree.6"," natural ingredients""","""Now that you know a little more about GAIA Natural Baby"," please indicate your agreement with the following statements:(select one per statement)""",categorical,""
Q222,228,"Strongly Agree.7"," please indicate your agreement with the following statements:(select one per statement)""","","I like the fact that GAIA uses organic ingredients",agreement,""
Q223,229,"Agree.7"," please indicate your agreement with the following statements:(select one per statement)""","","I don’t like that GAIA uses essential oils",agreement,""
Q224,230,"Strongly Agree.8"," please indicate your agreement with the following statements:(select one per statement)""","","I like the fact GAIA is compatible with sensitive skin",agreement,""
Q225,231,"Strongly Agree.9","""Now that you know a little more about GAIA Natural Baby","","""I like the fact GAIA formulations don’t include irritants like sulphates",categorical,""
Q226,232,"Agree.8"," please indicate your agreement with the following statements:(select one per statement)""","","The GAIA packaging looks good",agreement,""
Q227,233,"Agree.9"," please indicate your agreement with the following statements:(select one per statement)""","","I like the fact that GAIA is made in Australia",agreement,""
Q228,234,"Agree.10"," please indicate your agreement with the following statements:(select one per statement)""","","GAIA is a brand I feel I can trust",agreement,""
Q229,235,"Don't Know / Can't Say.19"," please indicate your agreement with the following statements:(select one per statement)""","","GAIA is affordable",agreement,""
Q230,236,"Don't Know / Can't Say.20"," please indicate your agreement with the following statements:(select one per statement)""","","The GAIA packaging looks dated and needs a refresh",agreement,""
Q231,237,"Agree.11"," please indicate your agreement with the following statements:(select one per statement)""","","GAIA is a brand I feel good about",agreement,""
Q232,238,"Don't Know / Can't Say.21","Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Natural Insect Repellent","Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement)","Natural Insect Repellent",categorical,"BRAND RELATED"
Q233,239,"Good Fit","Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Natural Sleeptime Calming Room Spray","","Natural Sleeptime Calming Room Spray",categorical,"BRAND RELATED"
Q234,240,"Good Fit.1","Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Sleeptime Magnesium Bath Oil","","Sleeptime Magnesium Bath Oil",categorical,"BRAND RELATED"
Q235,241,"Good Fit.2","Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Natural Sunscreen","","Natural Sunscreen",categorical,"BRAND RELATED"
Q236,242,"Very Good fit","Based on your understanding of GAIA do you think that adding a kids range is a good fit for the brand to explore in the future?(select one) - Response","Based on your understanding of GAIA do you think that adding a kids range is a good fit for the brand to explore in the future?(select one)","Response",categorical,"BRAND RELATED"
Q237,243,"From the baby / infant products area","""If the proposed Kids range were available in stores","""If the proposed Kids range were available in stores"," where would you prefer to shop for it?(select one)""",categorical,""
Q238,244,"Likely","""If the proposed Kids range met your quality and price expectations","""If the proposed Kids range met your quality and price expectations"," how likely are you to consider purchasing it in the future?(select one)""",categorical,""
Q239,245,"Current","Please provide your feedback on the two packaging options:(select one per statement) - Is the most modern","Please provide your feedback on the two packaging options:(select one per statement)","Is the most modern",categorical,""
Q240,246,"Current.1","Please provide your feedback on the two packaging options:(select one per statement) - Is the most appealing bottle shape/style","","Is the most appealing bottle shape/style",categorical,""
Q241,247,"Current.2","Please provide your feedback on the two packaging options:(select one per statement) - Best communicates the type of product","","Best communicates the type of product",categorical,""
Q242,248,"Proposed","Please provide your feedback on the two packaging options:(select one per statement) - Best communicates that it is a baby brand","","Best communicates that it is a baby brand",categorical,"BRAND RELATED"
Q243,249,"Both could be Better","Please provide your feedback on the two packaging options:(select one per statement) - Is the most eye-catching","","Is the most eye-catching",categorical,""
Q244,250,"Current.3","Please provide your feedback on the two packaging options:(select one per statement) - Is the most appealing to me","","Is the most appealing to me",categorical,""
Q245,251,"bottle_shape_preference","""Considering only the shape of the bottle","""Considering only the shape of the bottle"," which option do you prefer:""",categorical,""
Q246,252,"preference_reason","""For the option you chose","""For the option you chose"," please state why:(what appeals to you)""",categorical,""
