Column,LLM Result,Original Row 0,Original Row 1,FFill Row 0,"FFill Row 0 + "" - "" + Row 1"
116,"I use different brands depending on the product (eg. one brand for body wash, another brand for shampoo, another for moisturiser)",Please select the option which best describes you:,Response,Please select the option which best describes you:,Please select the option which best describes you: - Response
117,Depends on what I have used before and what works on my 4 year old sons skin who has ezcema as well as safe for my 6 month old baby.,"Briefly, please say why:",Open-Ended Response,"Briefly, please say why:","Briefly, please say why: - Open-Ended Response"
118,MooGoo,"If you were given $100 to spend on baby body products, but could only spend it on one brand, which one would you choose: ",Response,"If you were given $100 to spend on baby body products, but could only spend it on one brand, which one would you choose:","If you were given $100 to spend on baby body products, but could only spend it on one brand, which one would you choose: - Response"
119,Unnamed: 119,,Other (please say which brand),"If you were given $100 to spend on baby body products, but could only spend it on one brand, which one would you choose:","If you were given $100 to spend on baby body products, but could only spend it on one brand, which one would you choose: - Other (please say which brand)"
120,Because it is natural and good for ezcema and sensitive skin ,You chose to spend your $100 on {{ Q31 }} Please say why you chose that brand:,Open-Ended Response,You chose to spend your $100 on {{ Q31 }} Please say why you chose that brand:,You chose to spend your $100 on {{ Q31 }} Please say why you chose that brand: - Open-Ended Response
121,Unnamed: 121,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)",None of the above,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - None of the above"
122,Friends or family,,Friends or family,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Friends or family"
123,Unnamed: 123,,"Internet search (eg. Google, Bing)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Internet search (eg. Google, Bing)"
124,Unnamed: 124,,"AI search  (eg. ChatGPT, Grock, Deepseek)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - AI search  (eg. ChatGPT, Grock, Deepseek)"
125,Unnamed: 125,,"Mother/Baby websites (eg.  tellmebaby.com.au, practicalparenting.com.au)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Mother/Baby websites (eg.  tellmebaby.com.au, practicalparenting.com.au)"
126,Unnamed: 126,,"Brand/company websites (eg. Sudocrem , Mountain Buggy, etc)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Brand/company websites (eg. Sudocrem , Mountain Buggy, etc)"
127,Unnamed: 127,,Brand newsletter/email,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Brand newsletter/email"
128,Unnamed: 128,,Facebook Groups & Forums,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Facebook Groups & Forums"
129,Unnamed: 129,,Facebook ads/Marketplace,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Facebook ads/Marketplace"
130,Unnamed: 130,,YouTube,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - YouTube"
131,Unnamed: 131,,TikTok,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - TikTok"
132,Unnamed: 132,,Instagram,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Instagram"
133,Unnamed: 133,,Twitter / X,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Twitter / X"
134,Unnamed: 134,,Podcast,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Podcast"
135,Pharmacist,,Pharmacist,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Pharmacist"
136,Unnamed: 136,,"Influencer (eg. Snezana Wood, Steph Claire Smith, Jade Tunch)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Influencer (eg. Snezana Wood, Steph Claire Smith, Jade Tunch)"
137,Unnamed: 137,,"Influencer (eg. small following, local community)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Influencer (eg. small following, local community)"
138,Pharmacy assistant,,Pharmacy assistant,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Pharmacy assistant"
139,Unnamed: 139,,Midwife,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Midwife"
140,Family doctor/GP,,Family doctor/GP,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Family doctor/GP"
141,Unnamed: 141,,Pediatrician,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Pediatrician"
142,Unnamed: 142,,Maternal and Child Health Nurse,"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Maternal and Child Health Nurse"
143,Unnamed: 143,,Other sources (please specify),"If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply)","If you wanted information on baby products or brands, which of the following sources are you most likely to use: (select all that apply) - Other sources (please specify)"
144,Occasionally,Have you used any of the following baby product review/information websites:(select one per site),Tell Me Baby,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Tell Me Baby
145,Never,,Mouth of Mum’s,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Mouth of Mum’s
146,Occasionally.1,,Mum’s Grapevine,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Mum’s Grapevine
147,Never.1,,New Born Baby,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - New Born Baby
148,Never.2,,Baby Center,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Baby Center
149,Occasionally.2,,Bounty Parents,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Bounty Parents
150,Never.3,,Product Review.com.au,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Product Review.com.au
151,Occasionally.3,,Mum’s Central,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Mum’s Central
152,Never.4,,Kiindred,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Kiindred
153,Once in a While,,Pregnancybirthbaby.org.au,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Pregnancybirthbaby.org.au
154,Once in a While.1,,Raisingchildren.net.au,Have you used any of the following baby product review/information websites:(select one per site),Have you used any of the following baby product review/information websites:(select one per site) - Raisingchildren.net.au
155,Unnamed: 155,"If there are any other baby product review/information websites that you currently use, please outline them:",Open-Ended Response,"If there are any other baby product review/information websites that you currently use, please outline them:","If there are any other baby product review/information websites that you currently use, please outline them: - Open-Ended Response"
156,Yes.2,Have you attended any of the following Baby Expos?(select one per expo),"Pregnancy, Babies & Children’s Expo",Have you attended any of the following Baby Expos?(select one per expo),"Have you attended any of the following Baby Expos?(select one per expo) - Pregnancy, Babies & Children’s Expo"
157,No.1,,One Fine Baby Expo,Have you attended any of the following Baby Expos?(select one per expo),Have you attended any of the following Baby Expos?(select one per expo) - One Fine Baby Expo
158,Unnamed: 158,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),None of the above,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - None of the above
159,Samples from Bounty Bag,,Samples from Bounty Bag,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from Bounty Bag
160,Unnamed: 160,,Samples from Bao Bag,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from Bao Bag
161,Samples from an Expo,,Samples from an Expo,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from an Expo
162,Unnamed: 162,,Samples from a GP/family doctor,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from a GP/family doctor
163,Unnamed: 163,,Samples from a Pediatrician,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from a Pediatrician
164,Unnamed: 164,,Samples from a Midwife,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from a Midwife
165,Unnamed: 165,,Samples from a Maternal and Child Health Nurse,Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from a Maternal and Child Health Nurse
166,Unnamed: 166,,Samples from a retail store (eg. pharmacy),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Samples from a retail store (eg. pharmacy)
167,Unnamed: 167,,Sample box with purchase (eg. Chemist Warehouse – Bundle of Joy box),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply),Please indicate if you have you ever received a sample of a baby product to trial or use at home from the following sources:(select all that apply) - Sample box with purchase (eg. Chemist Warehouse – Bundle of Joy box)
168,Strongly Agree.4,Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement),I like getting samples,Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement),Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement) - I like getting samples
169,Disagree,,I get too many samples and don’t end up using them,Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement),Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement) - I get too many samples and don’t end up using them
170,Agree.5,,Samples are a good way to test a product,Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement),Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement) - Samples are a good way to test a product
171,Agree.6,,Receiving a sample and trying the product has influenced my decision to buy that brand/product,Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement),Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement) - Receiving a sample and trying the product has influenced my decision to buy that brand/product
172,Strongly Agree.5,,I am interested in receiving samples in the future,Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement),Please indicate your agreement with the following statements about the sampling of baby products:(select one per statement) - I am interested in receiving samples in the future
173,Yes.3,Prior to taking this survey had you ever heard of the brand GAIA Natural Baby?,Response,Prior to taking this survey had you ever heard of the brand GAIA Natural Baby?,Prior to taking this survey had you ever heard of the brand GAIA Natural Baby? - Response
174,"Natural, calming safe for baby products","Think about the GAIA brand – what do you know about it and what do you think are its key attributes?Briefly, please describe your understanding and perceptions of GAIA Natural Baby:",Open-Ended Response,"Think about the GAIA brand – what do you know about it and what do you think are its key attributes?Briefly, please describe your understanding and perceptions of GAIA Natural Baby:","Think about the GAIA brand – what do you know about it and what do you think are its key attributes?Briefly, please describe your understanding and perceptions of GAIA Natural Baby: - Open-Ended Response"
175,Unnamed: 175,How did you first learn about GAIA Natural Baby? (select as many as apply),Can't Remember,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Can't Remember
176,Unnamed: 176,,Friends or Family recommended,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Friends or Family recommended
177,Unnamed: 177,,Saw product in a store,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Saw product in a store
178,Unnamed: 178,,Saw product at an Expo,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Saw product at an Expo
179,Received a sample,,Received a sample,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Received a sample
180,Unnamed: 180,,Recommended by a GP/family doctor,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Recommended by a GP/family doctor
181,Unnamed: 181,,Recommended by a Paediatrician,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Recommended by a Paediatrician
182,Unnamed: 182,,Recommended by a Pharmacist,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Recommended by a Pharmacist
183,Unnamed: 183,,Recommended by Pharmacy assistant,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Recommended by Pharmacy assistant
184,Unnamed: 184,,Recommended by a Midwife,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Recommended by a Midwife
185,Unnamed: 185,,Recommended by a Maternal and Child Health Nurse,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Recommended by a Maternal and Child Health Nurse
186,Unnamed: 186,,Read an article / saw a review online,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Read an article / saw a review online
187,Unnamed: 187,,Read an article in a newspaper or magazine,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Read an article in a newspaper or magazine
188,Unnamed: 188,,"Internet search (eg. Google, Bing)",How did you first learn about GAIA Natural Baby? (select as many as apply),"How did you first learn about GAIA Natural Baby? (select as many as apply) - Internet search (eg. Google, Bing)"
189,Unnamed: 189,,"AI search  (eg. ChatGPT, Grock, Deepseek)",How did you first learn about GAIA Natural Baby? (select as many as apply),"How did you first learn about GAIA Natural Baby? (select as many as apply) - AI search  (eg. ChatGPT, Grock, Deepseek)"
190,Unnamed: 190,,"Mother/Baby websites (eg.  tellmebaby.com.au, practicalparenting.com.au)",How did you first learn about GAIA Natural Baby? (select as many as apply),"How did you first learn about GAIA Natural Baby? (select as many as apply) - Mother/Baby websites (eg.  tellmebaby.com.au, practicalparenting.com.au)"
191,Unnamed: 191,,Podcast,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Podcast
192,Unnamed: 192,,Facebook ad/marketplace,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Facebook ad/marketplace
193,Unnamed: 193,,Facebook forum / group,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Facebook forum / group
194,Unnamed: 194,,Instagram,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Instagram
195,Unnamed: 195,,Tik Tok,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Tik Tok
196,Unnamed: 196,,YouTube,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - YouTube
197,Unnamed: 197,,Influencers,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Influencers
198,Received as a gift,,Received as a gift,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Received as a gift
199,Unnamed: 199,,Online ads,How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Online ads
200,Unnamed: 200,,Other way (please say how),How did you first learn about GAIA Natural Baby? (select as many as apply),How did you first learn about GAIA Natural Baby? (select as many as apply) - Other way (please say how)
201,Yes.4,Have you ever purchased a GAIA Natural Baby product?,Response,Have you ever purchased a GAIA Natural Baby product?,Have you ever purchased a GAIA Natural Baby product? - Response
202,Never.5,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Coles supermarket,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Coles supermarket
203,Never.6,,Woolworths supermarket,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Woolworths supermarket
204,Never.7,,IGA supermarket,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - IGA supermarket
205,Occasionally.4,,Chemist Warehouse,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Chemist Warehouse
206,Never.8,,Priceline,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Priceline
207,Never.9,,"Pharmacy (Amcal, Terry White Chemart, etc)",Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),"Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Pharmacy (Amcal, Terry White Chemart, etc)"
208,Never.10,,Big W,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Big W
209,Often,,Amazon,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Amazon
210,Never.11,,Baby Bunting,Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Baby Bunting
211,Never.12,,GAIA website (gaiaskinnaturals.com),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - GAIA website (gaiaskinnaturals.com)
212,Unnamed: 212,,Online (please say which site(s)),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet),Have you ever purchased a GAIA Natural Baby product from the following outlets:(select one per outlet) - Online (please say which site(s))
213,Unnamed: 213,"If there are any other stores that you have purchased GAIA Natural Baby from, please say which ones:",Open-Ended Response,"If there are any other stores that you have purchased GAIA Natural Baby from, please say which ones:","If there are any other stores that you have purchased GAIA Natural Baby from, please say which ones: - Open-Ended Response"
214,A brand I purchase occasionally,Would you say that GAIA Natural Baby is...,Response,Would you say that GAIA Natural Baby is...,Would you say that GAIA Natural Baby is... - Response
215,Unnamed: 215,"What, if any, are barriers to you buying a GAIA Natural Baby product in the future?",Nothing – ready to buy if I need something,"What, if any, are barriers to you buying a GAIA Natural Baby product in the future?","What, if any, are barriers to you buying a GAIA Natural Baby product in the future? - Nothing – ready to buy if I need something"
216,Price/Value (is too expensive),,Price/Value (is too expensive),"What, if any, are barriers to you buying a GAIA Natural Baby product in the future?","What, if any, are barriers to you buying a GAIA Natural Baby product in the future? - Price/Value (is too expensive)"
217,Unnamed: 217,,Range (don’t have the type of products I want),"What, if any, are barriers to you buying a GAIA Natural Baby product in the future?","What, if any, are barriers to you buying a GAIA Natural Baby product in the future? - Range (don’t have the type of products I want)"
218,Unnamed: 218,,Availability (not convenient/easy to buy),"What, if any, are barriers to you buying a GAIA Natural Baby product in the future?","What, if any, are barriers to you buying a GAIA Natural Baby product in the future? - Availability (not convenient/easy to buy)"
219,Unnamed: 219,,Prefer other brands,"What, if any, are barriers to you buying a GAIA Natural Baby product in the future?","What, if any, are barriers to you buying a GAIA Natural Baby product in the future? - Prefer other brands"
220,Unnamed: 220,,Other (please specify),"What, if any, are barriers to you buying a GAIA Natural Baby product in the future?","What, if any, are barriers to you buying a GAIA Natural Baby product in the future? - Other (please specify)"
221,Unnamed: 221,Brand Preferred 1,Open-Ended Response,Brand Preferred 1,Brand Preferred 1 - Open-Ended Response
222,Unnamed: 222,Reason(s) Why:,Open-Ended Response,Reason(s) Why:,Reason(s) Why: - Open-Ended Response
223,Unnamed: 223,Brand Preferred 2,Open-Ended Response,Brand Preferred 2,Brand Preferred 2 - Open-Ended Response
224,Unnamed: 224,Reason(s) Why:,Open-Ended Response,Reason(s) Why:,Reason(s) Why: - Open-Ended Response
225,Unnamed: 225,Brand Preferred 3,Open-Ended Response,Brand Preferred 3,Brand Preferred 3 - Open-Ended Response
226,Unnamed: 226,Reason(s) Why:,Open-Ended Response,Reason(s) Why:,Reason(s) Why: - Open-Ended Response
227,Strongly Agree.6,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","I like the fact that GAIA uses pure, natural ingredients","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - I like the fact that GAIA uses pure, natural ingredients"
228,Strongly Agree.7,,I like the fact that GAIA uses organic ingredients,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - I like the fact that GAIA uses organic ingredients"
229,Agree.7,,I don’t like that GAIA uses essential oils,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - I don’t like that GAIA uses essential oils"
230,Strongly Agree.8,,I like the fact GAIA is compatible with sensitive skin,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - I like the fact GAIA is compatible with sensitive skin"
231,Strongly Agree.9,,"I like the fact GAIA formulations don’t include irritants like sulphates, parabens and mineral oils","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - I like the fact GAIA formulations don’t include irritants like sulphates, parabens and mineral oils"
232,Agree.8,,The GAIA packaging looks good,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - The GAIA packaging looks good"
233,Agree.9,,I like the fact that GAIA is made in Australia,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - I like the fact that GAIA is made in Australia"
234,Agree.10,,GAIA is a brand I feel I can trust,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - GAIA is a brand I feel I can trust"
235,Don't Know / Can't Say.19,,GAIA is affordable,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - GAIA is affordable"
236,Don't Know / Can't Say.20,,The GAIA packaging looks dated and needs a refresh,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - The GAIA packaging looks dated and needs a refresh"
237,Agree.11,,GAIA is a brand I feel good about,"Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement)","Now that you know a little more about GAIA Natural Baby, please indicate your agreement with the following statements:(select one per statement) - GAIA is a brand I feel good about"
238,Don't Know / Can't Say.21,Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement),Natural Insect Repellent,Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement),Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Natural Insect Repellent
239,Good Fit,,Natural Sleeptime Calming Room Spray,Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement),Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Natural Sleeptime Calming Room Spray
240,Good Fit.1,,Sleeptime Magnesium Bath Oil,Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement),Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Sleeptime Magnesium Bath Oil
241,Good Fit.2,,Natural Sunscreen,Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement),Based on your understanding of GAIA Natural Baby and its range please assess if you think the following product categories are a good fit for the brand to explore in the future: (select one per statement) - Natural Sunscreen
242,Very Good fit,Based on your understanding of GAIA do you think that adding a kids range is a good fit for the brand to explore in the future?(select one),Response,Based on your understanding of GAIA do you think that adding a kids range is a good fit for the brand to explore in the future?(select one),Based on your understanding of GAIA do you think that adding a kids range is a good fit for the brand to explore in the future?(select one) - Response
243,From the baby / infant products area,"If the proposed Kids range were available in stores, where would you prefer to shop for it?(select one)",Response,"If the proposed Kids range were available in stores, where would you prefer to shop for it?(select one)","If the proposed Kids range were available in stores, where would you prefer to shop for it?(select one) - Response"
244,Likely,"If the proposed Kids range met your quality and price expectations, how likely are you to consider purchasing it in the future?(select one)",Response,"If the proposed Kids range met your quality and price expectations, how likely are you to consider purchasing it in the future?(select one)","If the proposed Kids range met your quality and price expectations, how likely are you to consider purchasing it in the future?(select one) - Response"
245,Current,Please provide your feedback on the two packaging options:(select one per statement),Is the most modern,Please provide your feedback on the two packaging options:(select one per statement),Please provide your feedback on the two packaging options:(select one per statement) - Is the most modern
246,Current.1,,Is the most appealing bottle shape/style,Please provide your feedback on the two packaging options:(select one per statement),Please provide your feedback on the two packaging options:(select one per statement) - Is the most appealing bottle shape/style
