Gender,Age group,State or Territory,Currently pregnant,Number of children,Age of youngest child,Essential oils preferences,Natural ingredients importance,How often use baby bath products,How often use baby shampoo,Survey Question 11,Survey Question 12,Survey Question 13,Survey Question 14,Survey Question 15,Survey Question 16,Survey Question 17,Survey Question 18,Survey Question 19,Survey Question 20,Survey Question 21,Survey Question 22,Survey Question 23,Survey Question 24,Survey Question 25,Survey Question 26,Survey Question 27,Survey Question 28,Survey Question 29,Survey Question 30,Survey Question 31,Survey Question 32,Survey Question 33,Survey Question 34,Survey Question 35,Survey Question 36,Survey Question 37,Survey Question 38,Survey Question 39,Survey Question 40,Survey Question 41,Survey Question 42,Survey Question 43,Survey Question 44,Survey Question 45,Survey Question 46,Survey Question 47,Survey Question 48,Survey Question 49,Survey Question 50,Survey Question 51,Survey Question 52,Survey Question 53
Female,Female,Female,Male,Female,Female,Strongly Agree,Strongly Agree,Often,Rarely,Strongly Agree,Always,Disagree,Disagree,Rarely,Strongly Disagree,Strongly Disagree,Rarely,Agree,Agree,Always,Agree,Strongly Disagree,Never,Agree,Agree,Rarely,Agree,Neutral,Often,Disagree,Neutral,Always,Disagree,Neutral,Rarely,Strongly Agree,Neutral,Sometimes,Strongly Disagree,Strongly Agree,Always,Strongly Agree,Disagree,Sometimes,Agree,Strongly Disagree,Often,Neutral,Agree,Always,Neutral,Strongly Disagree
Female,Female,Male,Male,Male,Male,Disagree,Agree,Never,Sometimes,Disagree,Often,Strongly Agree,Agree,Never,Strongly Agree,Disagree,Always,Strongly Agree,Disagree,Rarely,Disagree,Agree,Never,Strongly Disagree,Neutral,Sometimes,Agree,Disagree,Often,Agree,Disagree,Never,Strongly Disagree,Agree,Sometimes,Neutral,Neutral,Rarely,Agree,Agree,Always,Strongly Disagree,Strongly Agree,Always,Agree,Strongly Disagree,Rarely,Strongly Agree,Neutral,Often,Agree,Strongly Disagree
Male,Male,Female,Female,Female,Female,Neutral,Strongly Disagree,Always,Often,Strongly Disagree,Sometimes,Strongly Disagree,Strongly Agree,Always,Agree,Disagree,Never,Disagree,Neutral,Never,Disagree,Strongly Agree,Never,Disagree,Strongly Agree,Sometimes,Strongly Disagree,Agree,Always,Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Agree,Never,Agree,Agree,Rarely,Strongly Disagree,Strongly Disagree,Sometimes,Strongly Agree,Neutral,Always,Strongly Disagree,Neutral,Never,Strongly Agree,Neutral,Often,Disagree,Neutral
Male,Male,Male,Male,Female,Male,Strongly Agree,Disagree,Often,Often,Agree,Always,Neutral,Agree,Never,Strongly Agree,Neutral,Sometimes,Agree,Disagree,Often,Strongly Agree,Strongly Agree,Never,Disagree,Neutral,Often,Neutral,Strongly Agree,Always,Strongly Disagree,Neutral,Always,Neutral,Agree,Always,Disagree,Strongly Agree,Never,Agree,Strongly Agree,Sometimes,Disagree,Strongly Agree,Always,Disagree,Strongly Disagree,Rarely,Strongly Disagree,Agree,Rarely,Neutral,Strongly Disagree
Male,Female,Male,Female,Male,Female,Strongly Agree,Neutral,Rarely,Sometimes,Agree,Often,Agree,Neutral,Never,Neutral,Agree,Rarely,Strongly Disagree,Disagree,Always,Neutral,Neutral,Sometimes,Disagree,Neutral,Rarely,Agree,Disagree,Never,Strongly Disagree,Strongly Agree,Sometimes,Strongly Agree,Disagree,Never,Neutral,Strongly Agree,Often,Strongly Disagree,Agree,Rarely,Neutral,Strongly Disagree,Always,Agree,Agree,Sometimes,Strongly Agree,Strongly Disagree,Sometimes,Disagree,Strongly Disagree
Female,Male,Male,Female,Male,Male,Strongly Disagree,Strongly Disagree,Always,Often,Disagree,Often,Agree,Disagree,Sometimes,Agree,Disagree,Sometimes,Neutral,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Rarely,Disagree,Strongly Disagree,Always,Disagree,Agree,Sometimes,Neutral,Neutral,Always,Agree,Neutral,Rarely,Strongly Agree,Agree,Sometimes,Agree,Neutral,Rarely,Strongly Agree,Strongly Agree,Often,Agree,Strongly Disagree,Rarely,Strongly Disagree,Neutral,Always,Agree,Strongly Agree
Female,Male,Female,Female,Female,Male,Strongly Disagree,Neutral,Rarely,Always,Disagree,Never,Neutral,Agree,Often,Strongly Disagree,Agree,Always,Disagree,Disagree,Sometimes,Disagree,Neutral,Often,Neutral,Strongly Agree,Rarely,Strongly Disagree,Neutral,Often,Agree,Strongly Agree,Sometimes,Disagree,Neutral,Sometimes,Strongly Agree,Strongly Disagree,Rarely,Strongly Agree,Neutral,Never,Strongly Disagree,Strongly Disagree,Always,Disagree,Strongly Agree,Rarely,Agree,Strongly Agree,Rarely,Agree,Strongly Agree
Female,Male,Female,Male,Male,Female,Neutral,Disagree,Always,Rarely,Strongly Agree,Often,Agree,Strongly Disagree,Sometimes,Neutral,Agree,Sometimes,Agree,Strongly Agree,Always,Strongly Disagree,Neutral,Never,Strongly Agree,Strongly Agree,Always,Disagree,Disagree,Often,Strongly Agree,Strongly Agree,Always,Strongly Disagree,Neutral,Sometimes,Strongly Agree,Agree,Never,Strongly Agree,Strongly Disagree,Rarely,Strongly Agree,Neutral,Often,Neutral,Strongly Agree,Sometimes,Disagree,Strongly Agree,Rarely,Neutral,Neutral
Male,Male,Male,Male,Male,Female,Strongly Agree,Strongly Disagree,Sometimes,Often,Strongly Disagree,Never,Strongly Disagree,Disagree,Never,Neutral,Strongly Agree,Often,Strongly Disagree,Agree,Rarely,Strongly Agree,Agree,Rarely,Agree,Neutral,Always,Disagree,Strongly Agree,Often,Neutral,Strongly Disagree,Never,Agree,Strongly Agree,Often,Disagree,Strongly Disagree,Always,Disagree,Strongly Agree,Sometimes,Neutral,Strongly Agree,Always,Disagree,Disagree,Sometimes,Agree,Neutral,Sometimes,Neutral,Strongly Agree
Male,Female,Male,Female,Male,Male,Disagree,Strongly Disagree,Often,Sometimes,Neutral,Never,Strongly Agree,Strongly Disagree,Sometimes,Agree,Strongly Agree,Often,Disagree,Strongly Agree,Often,Agree,Neutral,Rarely,Strongly Agree,Strongly Agree,Never,Agree,Strongly Agree,Sometimes,Neutral,Neutral,Often,Strongly Disagree,Strongly Disagree,Always,Disagree,Agree,Always,Disagree,Neutral,Sometimes,Agree,Strongly Disagree,Often,Neutral,Strongly Disagree,Sometimes,Disagree,Agree,Sometimes,Disagree,Disagree
Male,Male,Female,Female,Female,Female,Strongly Agree,Strongly Disagree,Often,Often,Disagree,Never,Disagree,Disagree,Sometimes,Agree,Strongly Disagree,Rarely,Neutral,Neutral,Often,Strongly Disagree,Disagree,Sometimes,Strongly Disagree,Strongly Disagree,Rarely,Strongly Agree,Strongly Disagree,Rarely,Agree,Agree,Often,Strongly Disagree,Disagree,Always,Disagree,Strongly Disagree,Never,Agree,Strongly Agree,Often,Strongly Agree,Neutral,Rarely,Disagree,Neutral,Always,Strongly Agree,Disagree,Sometimes,Neutral,Neutral
Female,Male,Female,Male,Male,Male,Agree,Disagree,Rarely,Always,Neutral,Never,Disagree,Agree,Sometimes,Neutral,Disagree,Always,Agree,Strongly Agree,Always,Strongly Agree,Disagree,Often,Neutral,Strongly Disagree,Rarely,Strongly Agree,Disagree,Always,Strongly Agree,Strongly Disagree,Always,Agree,Neutral,Often,Strongly Agree,Strongly Disagree,Never,Disagree,Strongly Disagree,Rarely,Neutral,Disagree,Often,Strongly Disagree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Rarely,Strongly Agree,Strongly Disagree
Female,Male,Female,Female,Female,Female,Neutral,Disagree,Never,Sometimes,Neutral,Sometimes,Agree,Strongly Agree,Always,Strongly Disagree,Strongly Disagree,Sometimes,Agree,Strongly Disagree,Rarely,Disagree,Agree,Sometimes,Agree,Neutral,Sometimes,Agree,Agree,Sometimes,Agree,Disagree,Never,Strongly Agree,Strongly Disagree,Always,Strongly Disagree,Strongly Disagree,Rarely,Strongly Disagree,Agree,Always,Agree,Agree,Never,Strongly Disagree,Agree,Always,Neutral,Strongly Disagree,Always,Agree,Strongly Disagree
Male,Female,Male,Male,Female,Female,Disagree,Strongly Disagree,Often,Rarely,Strongly Disagree,Always,Neutral,Neutral,Sometimes,Strongly Agree,Agree,Often,Neutral,Disagree,Rarely,Strongly Disagree,Neutral,Always,Neutral,Disagree,Never,Disagree,Strongly Agree,Never,Neutral,Strongly Agree,Rarely,Agree,Agree,Always,Strongly Agree,Neutral,Sometimes,Strongly Disagree,Strongly Agree,Sometimes,Disagree,Strongly Disagree,Always,Agree,Strongly Disagree,Sometimes,Neutral,Agree,Sometimes,Disagree,Disagree
Female,Female,Male,Female,Female,Female,Strongly Disagree,Agree,Sometimes,Often,Disagree,Rarely,Disagree,Strongly Agree,Often,Agree,Neutral,Often,Disagree,Agree,Always,Agree,Disagree,Often,Agree,Strongly Agree,Often,Agree,Strongly Agree,Never,Agree,Strongly Agree,Sometimes,Disagree,Disagree,Always,Neutral,Strongly Disagree,Often,Strongly Agree,Strongly Agree,Sometimes,Disagree,Neutral,Often,Neutral,Disagree,Rarely,Disagree,Disagree,Never,Neutral,Neutral
Female,Female,Male,Male,Male,Male,Agree,Strongly Agree,Always,Always,Strongly Disagree,Often,Disagree,Agree,Often,Neutral,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Always,Neutral,Neutral,Rarely,Strongly Disagree,Strongly Agree,Sometimes,Agree,Strongly Disagree,Always,Strongly Agree,Strongly Agree,Always,Agree,Agree,Often,Agree,Disagree,Always,Agree,Neutral,Often,Neutral,Agree,Never,Strongly Agree,Neutral,Often,Disagree,Strongly Agree,Always,Agree,Strongly Disagree
Female,Female,Female,Female,Female,Male,Neutral,Disagree,Sometimes,Often,Disagree,Always,Neutral,Disagree,Never,Agree,Neutral,Rarely,Neutral,Neutral,Never,Neutral,Strongly Disagree,Rarely,Strongly Agree,Strongly Agree,Sometimes,Strongly Disagree,Agree,Often,Strongly Agree,Strongly Disagree,Sometimes,Strongly Disagree,Strongly Disagree,Rarely,Agree,Neutral,Always,Neutral,Disagree,Often,Strongly Agree,Neutral,Sometimes,Strongly Agree,Disagree,Never,Neutral,Strongly Disagree,Always,Neutral,Neutral
Female,Male,Female,Male,Female,Male,Disagree,Strongly Disagree,Always,Sometimes,Neutral,Sometimes,Neutral,Agree,Always,Strongly Disagree,Agree,Rarely,Disagree,Agree,Never,Agree,Disagree,Never,Agree,Strongly Agree,Sometimes,Disagree,Neutral,Often,Neutral,Strongly Agree,Never,Strongly Disagree,Strongly Disagree,Never,Neutral,Neutral,Always,Strongly Disagree,Agree,Sometimes,Strongly Agree,Agree,Always,Agree,Disagree,Sometimes,Neutral,Neutral,Often,Strongly Agree,Disagree
Female,Male,Male,Male,Male,Male,Agree,Disagree,Often,Sometimes,Strongly Disagree,Never,Disagree,Strongly Disagree,Often,Disagree,Disagree,Never,Strongly Agree,Agree,Never,Strongly Agree,Neutral,Rarely,Agree,Strongly Agree,Sometimes,Disagree,Strongly Agree,Rarely,Strongly Disagree,Disagree,Always,Strongly Disagree,Strongly Disagree,Often,Strongly Agree,Agree,Sometimes,Strongly Agree,Neutral,Never,Disagree,Strongly Disagree,Rarely,Disagree,Strongly Disagree,Rarely,Agree,Strongly Agree,Rarely,Strongly Agree,Neutral
Female,Female,Female,Male,Female,Male,Strongly Disagree,Agree,Never,Never,Neutral,Rarely,Neutral,Agree,Never,Agree,Strongly Agree,Sometimes,Neutral,Strongly Disagree,Rarely,Strongly Agree,Disagree,Always,Neutral,Agree,Often,Disagree,Disagree,Often,Neutral,Disagree,Rarely,Disagree,Strongly Disagree,Sometimes,Disagree,Disagree,Never,Disagree,Strongly Agree,Sometimes,Neutral,Disagree,Always,Strongly Agree,Strongly Disagree,Often,Neutral,Strongly Disagree,Always,Strongly Disagree,Strongly Agree
Female,Female,Male,Female,Female,Female,Strongly Disagree,Agree,Rarely,Always,Neutral,Never,Neutral,Strongly Agree,Rarely,Strongly Disagree,Strongly Disagree,Sometimes,Agree,Strongly Disagree,Never,Strongly Agree,Disagree,Rarely,Neutral,Neutral,Never,Strongly Disagree,Neutral,Rarely,Agree,Disagree,Often,Disagree,Strongly Disagree,Rarely,Strongly Disagree,Disagree,Sometimes,Neutral,Strongly Disagree,Never,Strongly Agree,Strongly Agree,Always,Strongly Agree,Disagree,Rarely,Disagree,Disagree,Rarely,Neutral,Strongly Disagree
Male,Male,Male,Female,Male,Female,Neutral,Neutral,Often,Always,Neutral,Never,Neutral,Neutral,Rarely,Agree,Strongly Agree,Often,Disagree,Neutral,Always,Neutral,Agree,Rarely,Neutral,Disagree,Rarely,Agree,Disagree,Always,Disagree,Neutral,Often,Strongly Agree,Neutral,Always,Neutral,Strongly Disagree,Never,Agree,Disagree,Rarely,Strongly Agree,Disagree,Often,Strongly Agree,Strongly Disagree,Sometimes,Agree,Disagree,Rarely,Agree,Strongly Agree
Male,Female,Female,Male,Male,Female,Strongly Disagree,Strongly Disagree,Rarely,Sometimes,Agree,Often,Strongly Disagree,Agree,Never,Strongly Agree,Neutral,Often,Neutral,Disagree,Often,Strongly Disagree,Agree,Always,Agree,Strongly Disagree,Often,Neutral,Neutral,Always,Strongly Agree,Strongly Disagree,Always,Strongly Disagree,Disagree,Never,Strongly Disagree,Disagree,Always,Agree,Disagree,Rarely,Agree,Neutral,Never,Neutral,Strongly Disagree,Always,Strongly Agree,Neutral,Always,Strongly Agree,Strongly Disagree
Female,Male,Male,Female,Male,Female,Neutral,Agree,Always,Often,Neutral,Never,Neutral,Strongly Disagree,Rarely,Disagree,Disagree,Often,Disagree,Strongly Disagree,Never,Neutral,Strongly Disagree,Always,Disagree,Strongly Disagree,Rarely,Strongly Disagree,Agree,Never,Strongly Disagree,Neutral,Rarely,Neutral,Strongly Disagree,Never,Agree,Disagree,Often,Neutral,Strongly Disagree,Rarely,Neutral,Agree,Never,Agree,Neutral,Never,Neutral,Strongly Agree,Always,Disagree,Strongly Disagree
Male,Female,Male,Male,Female,Male,Agree,Agree,Rarely,Sometimes,Strongly Agree,Rarely,Neutral,Neutral,Never,Agree,Disagree,Always,Strongly Disagree,Strongly Disagree,Rarely,Disagree,Disagree,Sometimes,Disagree,Strongly Disagree,Often,Agree,Neutral,Never,Agree,Neutral,Often,Agree,Strongly Agree,Sometimes,Neutral,Strongly Agree,Rarely,Disagree,Agree,Sometimes,Agree,Strongly Agree,Always,Agree,Agree,Never,Strongly Agree,Disagree,Never,Agree,Agree
Female,Female,Male,Female,Male,Male,Disagree,Neutral,Always,Often,Strongly Disagree,Often,Strongly Disagree,Agree,Sometimes,Neutral,Neutral,Often,Strongly Disagree,Strongly Agree,Sometimes,Strongly Disagree,Neutral,Often,Agree,Neutral,Never,Disagree,Strongly Agree,Sometimes,Strongly Disagree,Neutral,Sometimes,Strongly Disagree,Strongly Disagree,Rarely,Neutral,Agree,Sometimes,Strongly Disagree,Disagree,Always,Agree,Strongly Agree,Rarely,Agree,Strongly Disagree,Often,Agree,Strongly Agree,Rarely,Neutral,Strongly Disagree
Male,Male,Female,Female,Male,Male,Strongly Disagree,Strongly Agree,Never,Never,Neutral,Rarely,Neutral,Agree,Never,Disagree,Strongly Agree,Never,Neutral,Strongly Disagree,Often,Disagree,Strongly Disagree,Often,Disagree,Strongly Agree,Sometimes,Strongly Disagree,Strongly Agree,Always,Strongly Disagree,Strongly Agree,Sometimes,Agree,Strongly Agree,Sometimes,Agree,Neutral,Never,Strongly Disagree,Strongly Agree,Rarely,Agree,Strongly Disagree,Never,Disagree,Disagree,Always,Disagree,Neutral,Rarely,Strongly Agree,Neutral
Male,Male,Male,Male,Male,Male,Disagree,Neutral,Always,Always,Strongly Agree,Rarely,Strongly Disagree,Agree,Rarely,Strongly Agree,Agree,Often,Agree,Neutral,Never,Strongly Disagree,Neutral,Never,Neutral,Neutral,Always,Neutral,Agree,Rarely,Disagree,Neutral,Never,Disagree,Agree,Sometimes,Strongly Disagree,Neutral,Always,Agree,Strongly Agree,Never,Disagree,Disagree,Often,Strongly Disagree,Agree,Always,Disagree,Disagree,Sometimes,Strongly Agree,Disagree
Male,Female,Male,Male,Female,Female,Agree,Agree,Always,Always,Neutral,Always,Strongly Disagree,Neutral,Never,Strongly Disagree,Strongly Disagree,Sometimes,Neutral,Neutral,Never,Agree,Strongly Agree,Sometimes,Agree,Neutral,Often,Neutral,Agree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Disagree,Never,Strongly Disagree,Disagree,Sometimes,Strongly Agree,Strongly Disagree,Always,Strongly Disagree,Strongly Agree,Rarely,Strongly Disagree,Strongly Disagree,Rarely,Neutral,Neutral,Never,Strongly Agree,Disagree
Male,Female,Female,Female,Female,Female,Agree,Strongly Disagree,Always,Never,Strongly Agree,Often,Strongly Disagree,Disagree,Often,Strongly Disagree,Neutral,Rarely,Neutral,Strongly Disagree,Sometimes,Strongly Disagree,Strongly Disagree,Sometimes,Disagree,Agree,Always,Disagree,Disagree,Sometimes,Neutral,Strongly Disagree,Rarely,Agree,Agree,Rarely,Disagree,Agree,Sometimes,Neutral,Agree,Never,Disagree,Neutral,Never,Neutral,Strongly Disagree,Often,Strongly Disagree,Disagree,Never,Strongly Disagree,Agree
Female,Male,Female,Male,Female,Male,Strongly Disagree,Strongly Agree,Rarely,Sometimes,Strongly Disagree,Never,Strongly Agree,Strongly Agree,Never,Strongly Agree,Neutral,Always,Strongly Disagree,Disagree,Always,Neutral,Disagree,Always,Strongly Agree,Strongly Agree,Never,Agree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Agree,Rarely,Disagree,Disagree,Never,Disagree,Strongly Disagree,Often,Disagree,Agree,Sometimes,Disagree,Strongly Disagree,Rarely,Neutral,Strongly Agree,Always,Agree,Strongly Agree
Female,Female,Female,Male,Male,Male,Neutral,Agree,Never,Never,Disagree,Always,Neutral,Strongly Disagree,Often,Agree,Agree,Always,Strongly Disagree,Strongly Disagree,Often,Agree,Disagree,Rarely,Neutral,Disagree,Never,Agree,Neutral,Always,Strongly Agree,Strongly Agree,Never,Neutral,Disagree,Often,Disagree,Strongly Agree,Rarely,Strongly Agree,Disagree,Sometimes,Disagree,Neutral,Sometimes,Strongly Agree,Strongly Disagree,Rarely,Strongly Agree,Strongly Disagree,Never,Strongly Disagree,Agree
Male,Female,Male,Female,Male,Male,Strongly Disagree,Disagree,Never,Often,Neutral,Often,Strongly Agree,Agree,Always,Strongly Disagree,Disagree,Often,Neutral,Agree,Sometimes,Agree,Neutral,Never,Neutral,Agree,Always,Disagree,Neutral,Rarely,Neutral,Strongly Disagree,Always,Strongly Agree,Disagree,Never,Strongly Agree,Agree,Rarely,Strongly Disagree,Strongly Agree,Rarely,Agree,Agree,Always,Disagree,Disagree,Never,Strongly Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Strongly Agree
Male,Female,Male,Male,Female,Female,Disagree,Neutral,Always,Rarely,Disagree,Always,Strongly Disagree,Neutral,Never,Disagree,Strongly Agree,Often,Disagree,Strongly Disagree,Sometimes,Neutral,Strongly Agree,Rarely,Disagree,Strongly Disagree,Rarely,Strongly Agree,Strongly Disagree,Rarely,Disagree,Neutral,Often,Neutral,Disagree,Sometimes,Neutral,Neutral,Rarely,Strongly Agree,Strongly Disagree,Always,Neutral,Disagree,Sometimes,Strongly Agree,Strongly Disagree,Always,Strongly Agree,Agree,Rarely,Strongly Agree,Strongly Disagree
Female,Male,Female,Female,Male,Male,Strongly Agree,Strongly Agree,Rarely,Sometimes,Agree,Rarely,Strongly Agree,Disagree,Often,Strongly Disagree,Strongly Agree,Always,Agree,Agree,Often,Agree,Neutral,Always,Neutral,Neutral,Never,Strongly Disagree,Disagree,Always,Disagree,Strongly Disagree,Rarely,Agree,Neutral,Always,Agree,Neutral,Rarely,Neutral,Agree,Never,Disagree,Neutral,Rarely,Disagree,Disagree,Sometimes,Strongly Agree,Strongly Disagree,Sometimes,Agree,Strongly Disagree
Male,Male,Female,Female,Male,Male,Neutral,Agree,Always,Sometimes,Agree,Always,Strongly Agree,Agree,Never,Neutral,Agree,Never,Disagree,Neutral,Often,Strongly Agree,Strongly Agree,Always,Agree,Strongly Disagree,Never,Agree,Strongly Agree,Never,Strongly Agree,Strongly Disagree,Always,Agree,Agree,Sometimes,Agree,Agree,Always,Strongly Disagree,Strongly Disagree,Often,Agree,Neutral,Sometimes,Neutral,Agree,Always,Strongly Agree,Neutral,Often,Agree,Agree
Male,Male,Female,Female,Female,Female,Strongly Disagree,Strongly Disagree,Rarely,Sometimes,Neutral,Sometimes,Agree,Agree,Rarely,Disagree,Disagree,Always,Strongly Agree,Strongly Agree,Never,Strongly Agree,Neutral,Always,Strongly Agree,Strongly Agree,Always,Neutral,Strongly Agree,Never,Disagree,Strongly Agree,Sometimes,Strongly Disagree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Rarely,Disagree,Neutral,Always,Disagree,Strongly Agree,Often,Neutral,Strongly Agree,Often,Strongly Agree,Strongly Agree,Always,Strongly Disagree,Disagree
Female,Male,Female,Female,Female,Male,Strongly Disagree,Disagree,Rarely,Never,Disagree,Rarely,Neutral,Disagree,Rarely,Strongly Agree,Strongly Agree,Sometimes,Agree,Strongly Agree,Sometimes,Agree,Neutral,Often,Disagree,Strongly Disagree,Often,Agree,Agree,Often,Agree,Strongly Agree,Always,Disagree,Neutral,Rarely,Strongly Agree,Agree,Often,Neutral,Disagree,Often,Disagree,Strongly Agree,Never,Strongly Disagree,Neutral,Sometimes,Agree,Disagree,Never,Disagree,Neutral
Male,Male,Female,Female,Female,Female,Strongly Agree,Strongly Disagree,Often,Often,Disagree,Sometimes,Disagree,Agree,Never,Strongly Agree,Agree,Always,Agree,Neutral,Never,Disagree,Neutral,Often,Disagree,Disagree,Sometimes,Disagree,Strongly Disagree,Often,Neutral,Strongly Disagree,Sometimes,Agree,Agree,Often,Neutral,Neutral,Sometimes,Strongly Agree,Disagree,Often,Agree,Agree,Sometimes,Neutral,Agree,Often,Strongly Agree,Disagree,Always,Agree,Disagree
Male,Female,Female,Male,Female,Male,Neutral,Agree,Often,Often,Disagree,Rarely,Strongly Disagree,Agree,Rarely,Disagree,Strongly Disagree,Often,Strongly Agree,Agree,Always,Agree,Strongly Disagree,Rarely,Agree,Neutral,Rarely,Disagree,Strongly Agree,Often,Disagree,Strongly Agree,Never,Neutral,Strongly Agree,Never,Strongly Disagree,Disagree,Always,Strongly Disagree,Disagree,Sometimes,Neutral,Agree,Sometimes,Strongly Disagree,Strongly Disagree,Never,Neutral,Disagree,Rarely,Neutral,Neutral
Male,Male,Male,Female,Female,Female,Neutral,Strongly Agree,Often,Always,Agree,Often,Agree,Strongly Disagree,Never,Neutral,Strongly Disagree,Often,Agree,Strongly Disagree,Never,Neutral,Agree,Often,Disagree,Agree,Never,Strongly Disagree,Strongly Agree,Always,Agree,Strongly Agree,Rarely,Disagree,Strongly Agree,Often,Neutral,Strongly Disagree,Always,Strongly Agree,Strongly Disagree,Rarely,Strongly Disagree,Neutral,Often,Agree,Neutral,Rarely,Agree,Strongly Agree,Never,Strongly Agree,Neutral
Female,Female,Male,Female,Female,Female,Strongly Disagree,Neutral,Always,Rarely,Strongly Disagree,Sometimes,Neutral,Strongly Disagree,Rarely,Neutral,Strongly Agree,Always,Neutral,Strongly Disagree,Sometimes,Neutral,Agree,Often,Strongly Agree,Strongly Disagree,Never,Strongly Disagree,Neutral,Always,Neutral,Strongly Agree,Never,Disagree,Strongly Disagree,Always,Disagree,Agree,Rarely,Neutral,Strongly Agree,Always,Neutral,Agree,Often,Neutral,Strongly Agree,Sometimes,Strongly Disagree,Agree,Always,Agree,Neutral
Male,Female,Male,Male,Female,Male,Strongly Disagree,Strongly Agree,Sometimes,Always,Neutral,Sometimes,Agree,Agree,Always,Strongly Disagree,Agree,Rarely,Neutral,Strongly Agree,Sometimes,Disagree,Strongly Disagree,Sometimes,Strongly Agree,Agree,Never,Disagree,Neutral,Often,Neutral,Neutral,Never,Disagree,Strongly Agree,Sometimes,Strongly Disagree,Agree,Sometimes,Agree,Disagree,Rarely,Agree,Disagree,Never,Strongly Agree,Disagree,Sometimes,Neutral,Strongly Agree,Always,Strongly Disagree,Strongly Disagree
Male,Male,Female,Male,Male,Male,Strongly Disagree,Strongly Agree,Always,Rarely,Strongly Agree,Sometimes,Strongly Disagree,Disagree,Often,Neutral,Strongly Disagree,Never,Disagree,Strongly Agree,Sometimes,Strongly Disagree,Strongly Agree,Rarely,Disagree,Strongly Agree,Rarely,Strongly Agree,Neutral,Sometimes,Strongly Agree,Neutral,Often,Neutral,Strongly Disagree,Sometimes,Strongly Agree,Strongly Agree,Never,Disagree,Neutral,Rarely,Disagree,Agree,Rarely,Disagree,Strongly Agree,Always,Neutral,Neutral,Sometimes,Strongly Agree,Neutral
Male,Female,Male,Female,Male,Female,Strongly Agree,Agree,Never,Always,Neutral,Never,Strongly Agree,Agree,Rarely,Strongly Agree,Strongly Disagree,Rarely,Neutral,Agree,Rarely,Neutral,Strongly Disagree,Always,Neutral,Agree,Rarely,Strongly Disagree,Strongly Disagree,Often,Disagree,Strongly Agree,Sometimes,Strongly Agree,Disagree,Never,Strongly Disagree,Disagree,Sometimes,Disagree,Strongly Disagree,Rarely,Neutral,Strongly Agree,Rarely,Strongly Disagree,Agree,Often,Agree,Agree,Always,Disagree,Neutral
Male,Male,Female,Female,Female,Male,Strongly Disagree,Neutral,Often,Always,Disagree,Sometimes,Neutral,Agree,Often,Strongly Disagree,Strongly Agree,Often,Strongly Agree,Strongly Disagree,Sometimes,Strongly Agree,Strongly Agree,Rarely,Disagree,Strongly Disagree,Rarely,Disagree,Neutral,Often,Neutral,Neutral,Often,Strongly Agree,Agree,Never,Disagree,Strongly Agree,Often,Agree,Neutral,Rarely,Disagree,Neutral,Rarely,Disagree,Strongly Agree,Always,Strongly Disagree,Disagree,Often,Agree,Neutral
Female,Male,Female,Male,Female,Female,Agree,Neutral,Never,Always,Neutral,Often,Disagree,Strongly Disagree,Never,Neutral,Neutral,Always,Neutral,Neutral,Rarely,Disagree,Strongly Agree,Always,Disagree,Disagree,Never,Disagree,Strongly Agree,Never,Strongly Disagree,Agree,Sometimes,Strongly Agree,Strongly Agree,Rarely,Neutral,Disagree,Never,Neutral,Neutral,Always,Disagree,Strongly Agree,Always,Strongly Disagree,Neutral,Always,Agree,Agree,Always,Disagree,Strongly Disagree
Male,Male,Male,Male,Male,Female,Agree,Disagree,Sometimes,Often,Strongly Disagree,Often,Strongly Disagree,Strongly Agree,Never,Disagree,Strongly Disagree,Always,Disagree,Neutral,Rarely,Strongly Agree,Disagree,Sometimes,Disagree,Neutral,Often,Disagree,Neutral,Often,Disagree,Disagree,Sometimes,Disagree,Strongly Disagree,Sometimes,Disagree,Agree,Always,Strongly Agree,Neutral,Rarely,Agree,Strongly Disagree,Never,Disagree,Disagree,Always,Agree,Disagree,Never,Agree,Strongly Agree
Male,Male,Female,Male,Female,Female,Disagree,Disagree,Sometimes,Never,Strongly Disagree,Never,Strongly Disagree,Strongly Agree,Sometimes,Strongly Agree,Disagree,Often,Neutral,Strongly Disagree,Sometimes,Neutral,Neutral,Never,Strongly Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Disagree,Often,Neutral,Agree,Never,Strongly Disagree,Agree,Always,Agree,Strongly Agree,Always,Neutral,Disagree,Often,Strongly Agree,Strongly Disagree,Always,Neutral,Disagree,Often,Disagree,Agree,Rarely,Agree,Agree
